BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,MAIL AND PACKAGE DELIVERY,RENT  COMMUNICATION  UTILITIES,3/28/2017,AP,912540,PHI & SUBSIDIARIES - PEPCO,11/7/2016,12/6/2016,UTILITIES,1264.82,2016,PHI & SUBSIDIARIES - PEPCO
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,MAIL AND PACKAGE DELIVERY,RENT  COMMUNICATION  UTILITIES,3/28/2017,AP,912543,PHI & SUBSIDIARIES - PEPCO,11/8/2016,12/7/2016,UTILITIES,6887.86,2016,PHI & SUBSIDIARIES - PEPCO
,CHIEF ADMIN OFCR OF THE HOUSE,2017Q1,MAIL AND PACKAGE DELIVERY,RENT  COMMUNICATION  UTILITIES,3/28/2017,AP,912544,PHI & SUBSIDIARIES - PEPCO,10/7/2016,11/6/2016,UTILITIES,1198.25,2016,PHI & SUBSIDIARIES - PEPCO
,LIFE CYCLE REPLACEMENT,2017Q1,COMMUNICATIONS EQUIPMENT,RENT  COMMUNICATION  UTILITIES,1/5/2017,AP,897056,LIT NETWORKS LLC,12/1/2016,12/1/2016,UTILITIES,15500,2016,LIT NETWORKS LLC
,LIFE CYCLE REPLACEMENT,2017Q1,COMMUNICATIONS EQUIPMENT,RENT  COMMUNICATION  UTILITIES,1/9/2017,AP,897058,LIT NETWORKS LLC,1/1/2017,1/1/2017,UTILITIES,15500,2017,LIT NETWORKS LLC
,LIFE CYCLE REPLACEMENT,2017Q1,COMMUNICATIONS EQUIPMENT,RENT  COMMUNICATION  UTILITIES,2/2/2017,AP,901786,SUNSET DIGITAL COMMUNICATIONS INC,12/1/2016,12/1/2016,UTILITIES,18383.99,2016,SUNSET DIGITAL COMMUNICATIONS INC
,LIFE CYCLE REPLACEMENT,2017Q1,COMMUNICATIONS EQUIPMENT,RENT  COMMUNICATION  UTILITIES,2/2/2017,AP,901787,SUNSET DIGITAL COMMUNICATIONS INC,1/1/2017,1/1/2017,UTILITIES,18373.99,2017,SUNSET DIGITAL COMMUNICATIONS INC
,LIFE CYCLE REPLACEMENT,2017Q1,COMMUNICATIONS EQUIPMENT,RENT  COMMUNICATION  UTILITIES,2/2/2017,AP,901789,SUNSET DIGITAL COMMUNICATIONS INC,2/1/2017,2/1/2017,UTILITIES,18373.99,2017,SUNSET DIGITAL COMMUNICATIONS INC
,LIFE CYCLE REPLACEMENT,2017Q1,COMMUNICATIONS EQUIPMENT,RENT  COMMUNICATION  UTILITIES,2/2/2017,AP,901790,LIT NETWORKS LLC,2/1/2017,2/28/2017,UTILITIES,15500,2017,LIT NETWORKS LLC
,LIFE CYCLE REPLACEMENT,2017Q1,COMMUNICATIONS EQUIPMENT,RENT  COMMUNICATION  UTILITIES,3/15/2017,AP,907980,LIT NETWORKS LLC,3/1/2017,3/1/2017,UTILITIES,15500,2017,LIT NETWORKS LLC
,LIFE CYCLE REPLACEMENT,2017Q1,COMMUNICATIONS EQUIPMENT,RENT  COMMUNICATION  UTILITIES,3/15/2017,AP,907982,SUNSET DIGITAL COMMUNICATIONS INC,3/1/2017,3/1/2017,UTILITIES,15867.33,2017,SUNSET DIGITAL COMMUNICATIONS INC
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/11/2017,AP,E0476821,SUDDENLINK,12/29/2016,1/28/2017,UTILITIES,104.95,2017,SUDDENLINK
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/30/2017,AP,E0481942,ENTERGY,12/9/2016,1/11/2017,UTILITIES,187.54,2017,ENTERGY
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/1/2017,AP,E0483340,SUDDENLINK,1/29/2017,2/28/2017,UTILITIES,104.95,2017,SUDDENLINK
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/24/2017,AP,E0490797,ENTERGY,1/11/2017,2/10/2017,UTILITIES,244.5,2017,ENTERGY
A000374,HON. RALPH ABRAHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/6/2017,AP,E0492858,SUDDENLINK,3/1/2017,3/28/2017,UTILITIES,104.95,2017,SUDDENLINK
A000370,HON. ALMA S. ADAMS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/17/2017,AP,904174,CITI PCARD-TWC TIME WARNER CABLE,1/3/2017,1/28/2017,UTILITIES,232.62,2017,CITI PCARD-TWC TIME WARNER CABLE
A000370,HON. ALMA S. ADAMS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/9/2017,AP,E0492108,DUKE ENERGY CORPORATION,1/14/2017,1/14/2017,UTILITIES,114.55,2017,DUKE ENERGY CORPORATION
A000370,HON. ALMA S. ADAMS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/21/2017,AP,912200,CITI PCARD-TWC TIME WARNER CABLE,1/29/2017,2/28/2017,UTILITIES,338.76,2017,CITI PCARD-TWC TIME WARNER CABLE
A000370,HON. ALMA S. ADAMS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/19/2017,AP,900647,CITI PCARD-TWC TIME WARNER CABLE,11/29/2016,12/28/2016,UTILITIES,290.23,2016,CITI PCARD-TWC TIME WARNER CABLE
A000370,HON. ALMA S. ADAMS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/20/2017,AP,E0478619,DUKE ENERGY CORPORATION,11/9/2016,12/9/2016,UTILITIES,101.28,2016,DUKE ENERGY CORPORATION
A000370,HON. ALMA S. ADAMS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/20/2017,AP,E0478620,DUKE ENERGY CORPORATION,12/9/2016,1/2/2017,UTILITIES,119.06,2017,DUKE ENERGY CORPORATION
A000055,HON. ROBERT B. ADERHOLT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/9/2017,AP,E0493128,CHARTER COMMUNICATIONS,3/3/2017,4/2/2017,UTILITIES,197.99,2017,CHARTER COMMUNICATIONS
A000055,HON. ROBERT B. ADERHOLT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/21/2017,AP,912200,CITI PCARD-CHARTER COMM,1/29/2017,2/28/2017,UTILITIES,247.44,2017,CITI PCARD-CHARTER COMM
A000055,HON. ROBERT B. ADERHOLT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/19/2017,AP,900647,CITI PCARD-CHARTER COMM,11/29/2016,12/28/2016,UTILITIES,349.8,2016,CITI PCARD-CHARTER COMM
A000371,HON. PETE AGUILAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/9/2017,AP,E0485827,HON PETE AGUILAR,1/3/2017,1/31/2017,UTILITIES,109.99,2017,HON PETE AGUILAR
A000372,HON. RICK W. ALLEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/10/2017,AP,E0474987,COMCAST,12/14/2016,1/13/2017,UTILITIES,109.86,2017,COMCAST
A000372,HON. RICK W. ALLEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/10/2017,AP,E0475384,NORTHLAND COMMUNICATIONS,12/7/2016,1/6/2017,UTILITIES,145,2017,NORTHLAND COMMUNICATIONS
A000372,HON. RICK W. ALLEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/2/2017,AP,E0482719,COMCAST,1/14/2017,2/13/2017,UTILITIES,123.45,2017,COMCAST
A000372,HON. RICK W. ALLEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/14/2017,AP,E0493690,COMCAST,2/14/2017,3/13/2017,UTILITIES,123.45,2017,COMCAST
A000367,HON. JUSTIN A. AMASH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/17/2017,AP,904174,CITI PCARD-COMCAST,1/3/2017,1/28/2017,UTILITIES,115.48,2017,CITI PCARD-COMCAST
A000367,HON. JUSTIN A. AMASH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/21/2017,AP,912200,CITI PCARD-COMCAST,1/29/2017,2/28/2017,UTILITIES,115.48,2017,CITI PCARD-COMCAST
A000367,HON. JUSTIN A. AMASH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/19/2017,AP,900647,CITI PCARD-COMCAST,11/29/2016,12/28/2016,UTILITIES,115.48,2016,CITI PCARD-COMCAST
A000369,HON. MARK E. AMODEI,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/17/2017,AP,904174,CITI PCARD-DISH NETWORK-ONE TIME,12/29/2016,1/2/2017,UTILITIES,128.44,2017,CITI PCARD-DISH NETWORK-ONE TIME
A000373,HON. BRAD ASHFORD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/19/2017,AP,900647,CITI PCARD-COX OMAHA COMM SERV,11/29/2016,12/28/2016,UTILITIES,419.92,2016,CITI PCARD-COX OMAHA COMM SERV
A000373,HON. BRAD ASHFORD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/19/2017,AP,900647,CITI PCARD-METROPOLITAN UTILITIES,11/29/2016,12/28/2016,UTILITIES,272.76,2016,CITI PCARD-METROPOLITAN UTILITIES
A000373,HON. BRAD ASHFORD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/19/2017,AP,900647,CITI PCARD-OPPD-UTILITY-BILL-PMNT,11/29/2016,12/28/2016,UTILITIES,576.1,2016,CITI PCARD-OPPD-UTILITY-BILL-PMNT
A000373,HON. BRAD ASHFORD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/17/2017,AP,904174,CITI PCARD-COX OMAHA COMM SERV,12/29/2016,1/2/2017,UTILITIES,439.11,2017,CITI PCARD-COX OMAHA COMM SERV
B001291,HON. BRIAN BABIN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/24/2017,AP,E0480144,COMCAST,1/3/2017,1/12/2017,UTILITIES,142.05,2017,COMCAST
B001291,HON. BRIAN BABIN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/24/2017,AP,E0480147,COMCAST,1/13/2017,2/12/2017,UTILITIES,433.89,2017,COMCAST
B001291,HON. BRIAN BABIN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/2/2017,AP,E0484669,VERIZON WIRELESS,1/3/2017,1/23/2017,UTILITIES,282.96,2017,VERIZON WIRELESS
B001291,HON. BRIAN BABIN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/22/2017,AP,E0490029,COMCAST,2/13/2017,3/12/2017,UTILITIES,300.49,2017,COMCAST
B001291,HON. BRIAN BABIN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/6/2017,AP,E0475483,AT&T,12/11/2016,1/2/2017,UTILITIES,139.11,2017,AT&T
B001291,HON. BRIAN BABIN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/19/2017,AP,E0480143,COMCAST,11/13/2016,12/12/2016,UTILITIES,443.44,2016,COMCAST
B001291,HON. BRIAN BABIN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/2/2017,AP,E0484668,VERIZON WIRELESS,12/24/2016,1/2/2017,UTILITIES,115.76,2017,VERIZON WIRELESS
B001291,HON. BRIAN BABIN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/8/2017,AP,E0485855,AT&T,12/11/2016,1/2/2017,UTILITIES,112.15,2017,AT&T
B001299,HON. JIM BANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/6/2017,AP,906650,COMCAST,2/13/2017,3/12/2017,UTILITIES,105.01,2017,COMCAST
B001269,HON. LOU BARLETTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/10/2017,AP,E0476744,SERVICE ELECTRIC CABLE TV & COMM INC,12/21/2016,1/20/2017,UTILITIES,100.61,2017,SERVICE ELECTRIC CABLE TV & COMM INC
B001269,HON. LOU BARLETTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/11/2017,AP,E0476736,COMCAST,12/17/2016,1/16/2017,UTILITIES,141.75,2017,COMCAST
B001269,HON. LOU BARLETTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/11/2017,AP,E0476745,COMCAST,12/29/2016,1/28/2017,UTILITIES,539.28,2017,COMCAST
B001269,HON. LOU BARLETTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/23/2017,AP,E0479332,PENTELEDATA LP,12/24/2016,1/24/2017,UTILITIES,109.95,2017,PENTELEDATA LP
B001269,HON. LOU BARLETTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/27/2017,AP,E0481387,SERVICE ELECTRIC CABLE TV & COMM INC,1/21/2017,2/20/2017,UTILITIES,103.62,2017,SERVICE ELECTRIC CABLE TV & COMM INC
B001269,HON. LOU BARLETTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/8/2017,AP,E0485833,COMCAST,1/29/2017,2/28/2017,UTILITIES,543.3,2017,COMCAST
B001269,HON. LOU BARLETTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/9/2017,AP,E0485832,PPL ELECTRIC UTILITES CORPORATION,1/13/2017,1/25/2017,UTILITIES,127.21,2017,PPL ELECTRIC UTILITES CORPORATION
B001269,HON. LOU BARLETTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/14/2017,AP,E0486897,CENTURYLINK,12/21/2016,1/20/2017,UTILITIES,288.07,2017,CENTURYLINK
B001269,HON. LOU BARLETTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/14/2017,AP,E0486898,PENTELEDATA LP,1/24/2017,2/24/2017,UTILITIES,111.95,2017,PENTELEDATA LP
B001269,HON. LOU BARLETTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/8/2017,AP,E0494219,SERVICE ELECTRIC CABLE TV & COMM INC,2/21/2017,3/20/2017,UTILITIES,100.61,2017,SERVICE ELECTRIC CABLE TV & COMM INC
B001269,HON. LOU BARLETTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/9/2017,AP,E0494268,COMCAST,3/1/2017,3/28/2017,UTILITIES,543.3,2017,COMCAST
B001269,HON. LOU BARLETTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/10/2017,AP,E0494216,PPL ELECTRIC UTILITES CORPORATION,1/25/2017,2/23/2017,UTILITIES,341.91,2017,PPL ELECTRIC UTILITES CORPORATION
B001269,HON. LOU BARLETTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/17/2017,AP,E0496941,PENTELEDATA LP,2/24/2017,3/24/2017,UTILITIES,115.95,2017,PENTELEDATA LP
B001269,HON. LOU BARLETTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/18/2017,AP,E0479341,CENTURYLINK,11/21/2016,12/20/2016,UTILITIES,264.99,2016,CENTURYLINK
B000213,HON. JOE BARTON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/17/2017,AP,E0478861,CHARTER COMMUNICATIONS,1/4/2017,2/3/2017,UTILITIES,229.12,2017,CHARTER COMMUNICATIONS
B000213,HON. JOE BARTON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/3/2017,AP,E0484911,CHARTER COMMUNICATIONS,2/4/2017,3/3/2017,UTILITIES,551.82,2017,CHARTER COMMUNICATIONS
B000213,HON. JOE BARTON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/17/2017,AP,E0488736,TXU ENERGY RETAIL CO LLC,1/5/2017,2/1/2017,UTILITIES,261.41,2017,TXU ENERGY RETAIL CO LLC
B000213,HON. JOE BARTON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/7/2017,AP,E0494258,CHARTER COMMUNICATIONS,3/4/2017,4/3/2017,UTILITIES,227.57,2017,CHARTER COMMUNICATIONS
B000213,HON. JOE BARTON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/23/2017,AP,E0498033,TXU ENERGY RETAIL CO LLC,2/2/2017,3/2/2017,UTILITIES,213.64,2017,TXU ENERGY RETAIL CO LLC
B000213,HON. JOE BARTON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/17/2017,AP,E0478967,TXU ENERGY RETAIL CO LLC,12/5/2016,12/31/2016,UTILITIES,235.98,2016,TXU ENERGY RETAIL CO LLC
B001270,HON. KAREN BASS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/17/2017,AP,904174,CITI PCARD-COMCAST OF WASHINGTON,1/3/2017,1/28/2017,UTILITIES,217.48,2017,CITI PCARD-COMCAST OF WASHINGTON
B001270,HON. KAREN BASS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/17/2017,AP,904174,CITI PCARD-SXM SIRIUSXM.COM/ACCT,1/3/2017,1/28/2017,UTILITIES,109.28,2017,CITI PCARD-SXM SIRIUSXM.COM/ACCT
B001270,HON. KAREN BASS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/17/2017,AP,904174,CITI PCARD-TWC TIME WARNER CABLE,1/3/2017,1/28/2017,UTILITIES,321.66,2017,CITI PCARD-TWC TIME WARNER CABLE
B001270,HON. KAREN BASS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/21/2017,AP,912200,CITI PCARD-COMCAST OF WASHINGTON,1/29/2017,2/28/2017,UTILITIES,217.48,2017,CITI PCARD-COMCAST OF WASHINGTON
B001270,HON. KAREN BASS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/21/2017,AP,912200,CITI PCARD-DIRECT 4 BIZ LLC,1/29/2017,2/28/2017,UTILITIES,125,2017,CITI PCARD-DIRECT 4 BIZ LLC
B001270,HON. KAREN BASS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/21/2017,AP,912200,CITI PCARD-TWC TIME WARNER CABLE,1/29/2017,2/28/2017,UTILITIES,316.31,2017,CITI PCARD-TWC TIME WARNER CABLE
B001270,HON. KAREN BASS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/27/2017,AP,E0497615,CITIBANK GOV CARD SERVICE,12/29/2016,1/28/2017,UTILITIES,119.4,2017,CITIBANK GOV CARD SERVICE
B001270,HON. KAREN BASS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/19/2017,AP,900647,CITI PCARD-COMCAST OF WASHINGTON,11/29/2016,12/28/2016,UTILITIES,212.14,2016,CITI PCARD-COMCAST OF WASHINGTON
B001270,HON. KAREN BASS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/19/2017,AP,900647,CITI PCARD-TWC TIME WARNER CABLE,11/29/2016,12/28/2016,UTILITIES,316.41,2016,CITI PCARD-TWC TIME WARNER CABLE
B001281,HON. JOYCE BEATTY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/17/2017,AP,904174,CITI PCARD-TWC NATIONAL BUSINESS,1/3/2017,1/28/2017,UTILITIES,123.64,2017,CITI PCARD-TWC NATIONAL BUSINESS
B001281,HON. JOYCE BEATTY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/21/2017,AP,912200,CITI PCARD-ATT BILL PAYMENT,1/29/2017,2/28/2017,UTILITIES,145.13,2017,CITI PCARD-ATT BILL PAYMENT
B001281,HON. JOYCE BEATTY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/21/2017,AP,912200,CITI PCARD-TWC NATIONAL BUSINESS,1/29/2017,2/28/2017,UTILITIES,123.64,2017,CITI PCARD-TWC NATIONAL BUSINESS
B001281,HON. JOYCE BEATTY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/19/2017,AP,900647,CITI PCARD-TWC NATIONAL BUSINESS,11/29/2016,12/28/2016,UTILITIES,247.28,2016,CITI PCARD-TWC NATIONAL BUSINESS
B000287,HON. XAVIER BECARRA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/17/2017,AP,904174,CITI PCARD-IN  SHREDSOURCE/MICROS,1/3/2017,1/28/2017,UTILITIES,258,2017,CITI PCARD-IN  SHREDSOURCE/MICROS
B000287,HON. XAVIER BECARRA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,3/21/2017,AP,912200,CITI PCARD-TWC TIME WARNER CABLE,1/29/2017,2/28/2017,UTILITIES,137.89,2017,CITI PCARD-TWC TIME WARNER CABLE
B000287,HON. XAVIER BECARRA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/19/2017,AP,900647,CITI PCARD-TWC TIME WARNER CABLE,11/29/2016,12/28/2016,UTILITIES,137.89,2016,CITI PCARD-TWC TIME WARNER CABLE
B000287,HON. XAVIER BECARRA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/17/2017,AP,904174,CITI PCARD-TWC TIME WARNER CABLE,12/29/2016,1/2/2017,UTILITIES,137.89,2017,CITI PCARD-TWC TIME WARNER CABLE
B001271,HON. DAN BENISHEK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/12/2017,AP,E0475339,CHARTER COMMUNICATIONS,9/28/2016,11/26/2016,UTILITIES,943.53,2016,CHARTER COMMUNICATIONS
B001287,HON. AMI BERA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,1/24/2017,AP,E0481644,COMCAST,12/21/2016,1/20/2017,UTILITIES,311.56,2017,COMCAST
B001287,HON. AMI BERA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,2/10/2017,AP,E0486187,COMCAST,1/21/2017,2/20/2017,UTILITIES,328.23,2017,COMCAST
